Artist Name, Song Title, Song Duration, Album Name, Album Year
Drake,Hotline Bling,4:27,Views,2015
Drake,Marvins Room,5:48,Take Care,2011
Drake,Best I Ever Had,4:18,So Far Gone,2008
Drake,0 to 100 / The Catch Up,4:35,0 to 100 / The Catch Up - Single,2014
Drake,Started from the Bottom,2:54,Nothing Was the Same,2013
Drake,Forever (Feat. Kanye West and Lil' Wayne),5:57,More Than A Game,2009
Drake,Hold On We're Going Home,3:48,Nothing Was the Same,2013
Drake,Headlines,3:56,Take Care,2011
Drake,Take Care,4:37,Take Care,2011
Drake,Worst Behavior,4:30,Nothing Was the Same,2014
Drake,The Motto,3:01,The Motto - Single,2011
Drake,Know Yourself,4:36,If You're Reading This It's Too Late,2015
Drake,Over My Dead Body,4:33,Take Care,2011
Drake,Lord Knows (Feat. Rick Ross),5:08,Take Care,2011
Drake,HYFR (Hell Ya Fucking Right),3:27,Take Care,2011
Drake,Find Your Love,3:29,Thank Me Later,2010
Drake,Back to Back,2:15,Back to Back - Single,2015
Drake,Miss Me,5:06,Thank Me Later,2010
Drake,Make Me Proud (Feat. Nicki Minaj),3:40,Take Care,2011
Drake,6 God,3:01,If You're Reading This It's Too Late,2015
